[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  92  , diff =  15685.549041502669  , x =  0.01
itern =  93  , diff =  15376.531405802485  , x =  0.01
itern =  94  , diff =  15073.879918437455  , x =  0.01
itern =  95  , diff =  14777.458378154166  , x =  0.01
itern =  96  , diff =  14487.133025508625  , x =  0.01
itern =  97  , diff =  14202.772609457446  , x =  0.01
itern =  98  , diff =  13924.248453989505  , x =  0.01
itern =  99  , diff =  13651.434523459646  , x =  0.01
itern =  100  , diff =  13384.207485498684  , x =  0.01
##### Finished beta =  3  INFO =  (101, 13122.446770616618, 0.01)
itern =  1  , diff =  67231.56873228741  , x =  0.01
itern =  2  , diff =  122958.24451795986  , x =  0.01
itern =  3  , diff =  120053.03579010567  , x =  0.01
itern =  4  , diff =  115516.37827058884  , x =  0.01
itern =  5  , diff =  109939.50776443144  , x =  0.01
itern =  6  , diff =  103435.28513534386  , x =  0.01
itern =  7  , diff =  96449.42880634955  , x =  0.01
itern =  8  , diff =  90627.50082834758  , x =  0.01
itern =  9  , diff =  86589.74432762158  , x =  0.01
itern =  10  , diff =  83923.08283753798  , x =  0.01
itern =  11  , diff =  81901.36463313713  , x =  0.01
itern =  12  , diff =  80189.88384335459  , x =  0.01
itern =  13  , diff =  78694.60767661767  , x =  0.01
itern =  14  , diff =  77492.85092109186  , x =  0.01
itern =  15  , diff =  77621.8574344624  , x =  0.01
itern =  16  , diff =  76536.17982434876  , x =  0.01
itern =  17  , diff =  73226.9332845978  , x =  0.01
itern =  18  , diff =  71001.2930057774  , x =  0.01
itern =  19  , diff =  69204.5730578785  , x =  0.01
itern =  20  , diff =  67619.14842053063  , x =  0.01
itern =  21  , diff =  66146.13682938345  , x =  0.01
itern =  22  , diff =  64744.03850377196  , x =  0.01
itern =  23  , diff =  63393.682267555385  , x =  0.01
itern =  24  , diff =  62085.08594814672  , x =  0.01
itern =  25  , diff =  60812.46353906  , x =  0.01
itern =  26  , diff =  59572.141460214436  , x =  0.01
itern =  27  , diff =  58361.60105907709  , x =  0.01
itern =  28  , diff =  57179.00005091835  , x =  0.01
itern =  29  , diff =  56022.91577265173  , x =  0.01
itern =  30  , diff =  54892.198998288295  , x =  0.01
itern =  31  , diff =  53785.88641834071  , x =  0.01
itern =  32  , diff =  52703.14594920952  , x =  0.01
itern =  33  , diff =  51643.24127335963  , x =  0.01
itern =  34  , diff =  50605.50809734709  , x =  0.01
itern =  35  , diff =  49589.337799272806  , x =  0.01
itern =  36  , diff =  48594.16587869497  , x =  0.01
itern =  37  , diff =  47619.46361209394  , x =  0.01
itern =  38  , diff =  46664.731899476974  , x =  0.01
itern =  39  , diff =  45729.496641059435  , x =  0.01
itern =  40  , diff =  44813.30520324076  , x =  0.01
itern =  41  , diff =  43915.72367380328  , x =  0.01
itern =  42  , diff =  43036.33469819631  , x =  0.01
itern =  43  , diff =  42174.73575002726  , x =  0.01
itern =  44  , diff =  41330.537730473814  , x =  0.01
itern =  45  , diff =  40503.36382005206  , x =  0.01
itern =  46  , diff =  39692.84852631151  , x =  0.01
itern =  47  , diff =  38898.636885349544  , x =  0.01
itern =  48  , diff =  38120.3837853772  , x =  0.01
itern =  49  , diff =  37357.753388095785  , x =  0.01
itern =  50  , diff =  36610.418629216576  , x =  0.01
itern =  51  , diff =  35878.06078360877  , x =  0.01
itern =  52  , diff =  35160.36908368937  , x =  0.01
itern =  53  , diff =  34457.0403820499  , x =  0.01
itern =  54  , diff =  33767.77885114719  , x =  0.01
itern =  55  , diff =  33092.29571428488  , x =  0.01
itern =  56  , diff =  32430.309003224444  , x =  0.01
itern =  57  , diff =  31781.5433386129  , x =  0.01
itern =  58  , diff =  31145.729730096926  , x =  0.01
itern =  59  , diff =  30522.605393522088  , x =  0.01
itern =  60  , diff =  29911.91358304458  , x =  0.01
itern =  61  , diff =  29313.40343630858  , x =  0.01
