Outputs directory created
Dump directory created
dw =  0.00019174759848539225
dt =  0.0625
T Target =  0.004975124378109453
itern =  385  , diff =  10.686308628484486  , x =  0.01632056435891691
itern =  386  , diff =  12.635511297411604  , x =  0.01632056435891691
itern =  387  , diff =  12.318713099737538  , x =  0.017952620794808603
itern =  388  , diff =  14.53190904957837  , x =  0.017952620794808603
itern =  389  , diff =  14.131316320030715  , x =  0.019747882874289465
itern =  390  , diff =  16.627390409365855  , x =  0.019747882874289465
itern =  391  , diff =  16.12319371764952  , x =  0.021722671161718412
itern =  392  , diff =  18.91711556566718  , x =  0.010861335580859206
itern =  393  , diff =  4.5714402353548635  , x =  0.011947469138945127
itern =  394  , diff =  5.438630831571077  , x =  0.011947469138945127
itern =  395  , diff =  5.33823858978877  , x =  0.01314221605283964
itern =  396  , diff =  6.3399571896058475  , x =  0.01314221605283964
itern =  397  , diff =  6.211110918480088  , x =  0.014456437658123605
itern =  398  , diff =  7.362583173285173  , x =  0.014456437658123605
itern =  399  , diff =  7.197801794476194  , x =  0.015902081423935968
itern =  400  , diff =  8.514221320686136  , x =  0.015902081423935968
itern =  401  , diff =  8.304301801215157  , x =  0.017492289566329568
itern =  402  , diff =  9.800163837345185  , x =  0.017492289566329568
itern =  403  , diff =  9.533888789345617  , x =  0.019241518522962527
itern =  404  , diff =  11.222110070976838  , x =  0.019241518522962527
itern =  405  , diff =  10.885952451152244  , x =  0.02116567037525878
itern =  406  , diff =  12.776753578589695  , x =  0.01058283518762939
itern =  407  , diff =  3.0886512267048665  , x =  0.01164111870639233
itern =  408  , diff =  3.675132644194892  , x =  0.01164111870639233
itern =  409  , diff =  3.6078789986074167  , x =  0.012805230577031564
itern =  410  , diff =  4.285552701784973  , x =  0.012805230577031564
itern =  411  , diff =  4.199124845865814  , x =  0.01408575363473472
itern =  412  , diff =  4.978337499158958  , x =  0.01408575363473472
itern =  413  , diff =  4.867663675965207  , x =  0.015494328998208195
itern =  414  , diff =  5.758740512326543  , x =  0.015494328998208195
itern =  415  , diff =  5.617576742562381  , x =  0.017043761898029017
itern =  416  , diff =  6.630368722063065  , x =  0.017043761898029017
itern =  417  , diff =  6.451101039562533  , x =  0.01874813808783192
itern =  418  , diff =  7.59438844171757  , x =  0.01874813808783192
itern =  419  , diff =  7.367835039416996  , x =  0.020622951896615112
itern =  420  , diff =  8.64857309964653  , x =  0.010311475948307556
itern =  421  , diff =  2.0909513458683655  , x =  0.011342623543138313
itern =  422  , diff =  2.488120350865141  , x =  0.011342623543138313
itern =  423  , diff =  2.4427276927548536  , x =  0.012476885897452146
itern =  424  , diff =  2.901708270979075  , x =  0.012476885897452146
itern =  425  , diff =  2.8433547821669576  , x =  0.013724574487197362
itern =  426  , diff =  3.3711738507562123  , x =  0.013724574487197362
itern =  427  , diff =  3.29642882669616  , x =  0.0150970319359171
itern =  428  , diff =  3.900105627072433  , x =  0.0150970319359171
itern =  429  , diff =  3.804746920794733  , x =  0.01660673512950881
